Scaling,Scaling_Label,Lookback_Days,Lookback_Label,Percentile_Cutoff,Percentile_Label,Annual_Return_Pct,Annual_Volatility_Pct,Sharpe_Ratio,Max_Drawdown_Pct
linear,Linear,63,3mo,0.6,60%,35.1584724866068,13.18744977844544,2.054309072450435,-25.486219143993154
linear,Linear,63,3mo,0.65,65%,34.78739236825523,13.457588265360007,1.9952861047356112,-25.654374560941882
linear,Linear,63,3mo,0.7,70%,34.559314140410066,13.725314362078244,1.9466588982343684,-26.283261800066292
linear,Linear,63,3mo,0.75,75%,34.45178577742134,14.046983537606007,1.8995723124271071,-26.94191721101427
linear,Linear,63,3mo,0.8,80%,33.72228127887802,14.378207914011206,1.821235499521185,-27.131664601650808
linear,Linear,63,3mo,0.85,85%,32.77023547831308,14.819296168551032,1.7231086010664836,-27.13166460165079
linear,Linear,63,3mo,0.9,90%,31.17877532624116,15.426118159486649,1.5828386981242282,-27.1316646016508
linear,Linear,63,3mo,0.95,95%,28.68923610208696,16.022927332613143,1.4099537648140852,-27.131664601650833
linear,Linear,126,6mo,0.6,60%,31.88251467141736,12.697266147247804,1.9351946659713386,-26.554455268696632
linear,Linear,126,6mo,0.65,65%,31.41017561462014,12.98290807537153,1.867778016536375,-26.85282998153209
linear,Linear,126,6mo,0.7,70%,31.1468389633208,13.27683258844162,1.8142162155624415,-27.011848761420953
linear,Linear,126,6mo,0.75,75%,30.699199273700483,13.5766606285565,1.7519065231777855,-27.13166460165081
linear,Linear,126,6mo,0.8,80%,29.84443704006219,13.973096414206768,1.6591019012701604,-27.13166460165085
linear,Linear,126,6mo,0.85,85%,28.747385821274985,14.405841923607019,1.5545558927678327,-27.13166460165079
linear,Linear,126,6mo,0.9,90%,27.613841182397934,14.91837101654118,1.4468817905896791,-27.13166460165081
linear,Linear,126,6mo,0.95,95%,25.122331284844577,15.811729365954367,1.2488388768135643,-27.13166460165082
linear,Linear,189,9mo,0.6,60%,31.368784542457927,12.204999499554928,1.976198519716025,-20.943753723503608
linear,Linear,189,9mo,0.65,65%,30.69151885810042,12.527844366020597,1.8871650410245209,-22.991853668543953
linear,Linear,189,9mo,0.7,70%,30.046400263886962,12.854022902828257,1.803968721076557,-24.780917160888308
linear,Linear,189,9mo,0.75,75%,29.453420334554536,13.210305210016626,1.724211552909952,-26.76436093006248
linear,Linear,189,9mo,0.8,80%,29.10394054359624,13.568269151216079,1.6623158659624564,-26.998443966406533
linear,Linear,189,9mo,0.85,85%,27.86608783386677,13.99629903005013,1.546794162559377,-27.131664601650773
linear,Linear,189,9mo,0.9,90%,26.509127351502816,14.56539183492814,1.4186041495149981,-27.131664601650822
linear,Linear,189,9mo,0.95,95%,23.685294235646225,15.416119021301986,1.2020897295148065,-27.13166460165083
linear,Linear,252,1yr,0.6,60%,30.997089524279353,11.872085076514784,2.0043446152161644,-17.187503603959588
linear,Linear,252,1yr,0.65,65%,30.380098127789523,12.187923841137358,1.9167508503793935,-19.301446509810443
linear,Linear,252,1yr,0.7,70%,29.80604071669559,12.527260878043709,1.8329195643935507,-20.74390770379376
linear,Linear,252,1yr,0.75,75%,28.96100346898489,12.906117917982476,1.7321991362917264,-23.545466880252715
linear,Linear,252,1yr,0.8,80%,28.107546066177246,13.335313155098271,1.6308439280271279,-26.45784551534409
linear,Linear,252,1yr,0.85,85%,27.51058620716149,13.786070102423004,1.5480426235617297,-26.99572273859065
linear,Linear,252,1yr,0.9,90%,26.14030001110614,14.35234236596899,1.4171654523428348,-27.131664601650783
linear,Linear,252,1yr,0.95,95%,22.972773923978473,15.208688135571915,1.178360007472346,-27.13166460165079
linear,Linear,315,15mo,0.6,60%,30.969956676711252,11.579213516908068,2.0503223726933877,-13.146085875520011
linear,Linear,315,15mo,0.65,65%,30.921234810945464,11.946233028268262,1.9877907682817046,-14.773817563133182
linear,Linear,315,15mo,0.7,70%,30.174920595217003,12.325000255060598,1.8839893305374416,-18.58976705545677
